published;keyword;title;link
2026-05-22;airport strike;Airport workers back strike action during World Cup and peak holiday season - The Independent;https://news.google.com/rss/articles/CBMirgFBVV95cUxOVmZrZzVjaUdaVGpOUWRsQi1TTE4zazRzRUd2T0F4ME1UR0dEV1BBb1RCMkNORmFXNjQ1R3JteXA1b1kyZElxSHkwYmU4WllwdXJpWjNNSGlRSU5JZmgwSFh0ZDZyZm50RUVoelFpeWdSNGlFUWZ3OHF2ZFFicHgwUmpLdnp1LWs0Sm5aa2dHekI3SEQtd3lPRjRUa0NwN2dZUXNWeUtLLXBWck51eFE?oc=5
2026-05-23;airport strike;Paris airport strike on June 18: which routes are at risk of delays? - The Connexion;https://news.google.com/rss/articles/CBMirwFBVV95cUxPMWMwbktMeWt1NVBwRGtmUXF3cGlEdVpXSU1nbVludlhUZllvelVrc2hPNnFaRGowRTZIM1JpTml0QmVqUEtQRVR5QktGNFZGbG1haXZtWTdEb21JWDN1dFBIZzNsd0NDV0lXeTZRblFVYW9oVmh2QU03SXZ4MnZDWkZlY2FWTXE5cG9vbHFQTjBSVy1JUXE5LS1XWG9qbkw2T0NPc0dOS3ZuR3l3dXo0?oc=5
2026-05-28;airport strike;Major strike warning across European country set to hit 500 flights - The Sun;https://news.google.com/rss/articles/CBMiiAFBVV95cUxNUURsM2p4Q0dxZG9oeWhac1EydlN3TWVkRDJULWJtLTlmTFRXdEJHenhUM0FZUFZtV1VWZnR4czdsTzF2NHZZdzZIZkdTU3pyMUR6MEhKdVc1cXlKTUpuMnp4WEo1dENCUi1mSHNjNE1LdVJaVkVSdHgyckt4MEVXbWVQVlhCS3k2?oc=5
2026-05-27;airport strike;Italy Joins Netherlands, Portugal, Belgium, UK, Spain, France, and Other Nations in Europe in Accelerating Travel Challenges for Citizens with Planned Transport Strikes in Mid June, Unleashing Fresh Pressure on Flights, Rail Networks, Buses, Metro Services - Travel And Tour World;https://news.google.com/rss/articles/CBMibkFVX3lxTE9sRXgyNm93S0VLNVRUcTQ5UXhZOTVXZUNuUXpLSEdSamRIZW5qdkZqNEVDWVZKNXdXMjIxLTRYa3NTakZqUkZlam8weU5OWGh4RlVvek9OMTRRcVlIbTJFX0VMeGh1aVlTeEw1Z1JB?oc=5
2026-05-29;airport strike;London Tube strikes 2026: when are they and how long will they go on for? - The Times;https://news.google.com/rss/articles/CBMipAFBVV95cUxQWVJESEVHenlxc080VVQ1M2FtSDM2QmVQZzliREtPdzFiQUNWUnpUWWhvMllEQnh3cGtjN0pzdms5Q1I0M05UN3JoWGZoTXhxUVpDbjFwUmdWS085SDUwVjdWMS1abFZjaDdEbGowVUZTX215RDlvS3ZsamRXOHJsdXQxUXJ2X3Vjc1dwamhRV0dYMnpneUN3NWlkbTJtQ2JuZjZjaw?oc=5
2026-05-30;airport strike;"Dubai airport resumes flights after Iran drone strike; missile kills one in Abu Dhabi - DD News";https://news.google.com/rss/articles/CBMirwFBVV95cUxNX3BIRk81TTBBSkZhUDdFM18wWXpJTlBaYzBEUkw4NGlRX1lHekpVSVlXSTIzcGw3UlNkR3cxeFdMNXpxa0NZMm1tc2JaOEtpVDhwY1hOY1V3WG14UENMRm9WdjliZWVSWVRmRENabGl1VmRUUGlqTGJUX1BocVAwZmxoYmFjRWFVQUdHcy0yLUFzaU85QTltZzBxZk5RUkRUQzg4SXlid2pjUWI1Tm5N?oc=5
2026-05-25;airport strike;Paris airports: a strike call for June 18, 2026 — what disruptions for travelers? - Sortir à Paris;https://news.google.com/rss/articles/CBMi2AFBVV95cUxPWjhuR0t6ZE1XdWVHbkk2dm9OaE40UmEtZl9ITUZral8xZDhPa1dkSGp6U1BxdGZmQkNHQjJJWFhabnJ0OWVWOEFCSXVaelVXbWFCT19DR3RESU01LWdrdWdKSnFLOFB5MmVMelFoT2wxUE1ITGwzcUFnWFZDNDVES3N1eFFOSFBISlpTdjYwM3VtcGJBNVp4a0cwZG5vQkFON2gwakxES1hNdWNSX0pzdzFhWjVqa2t6bXRVdE5rWi1DbjYtVnBEZzFhZFFZd09oVVJITTRJaEM?oc=5
2026-05-28;airport strike;US says Iran fired ballistic missile towards Kuwait - Euronews.com;https://news.google.com/rss/articles/CBMimAFBVV95cUxQTTJYTTlfWmx2WVhfWU5lZkJzLW1CeXNPQ3VyUXdhMUUyYXltNUc5QW42X285SXdpM2tNa2RvaTBET0lpR3p0ekw4WmxubXh2OEp1M0dfb01jeUVwR25vUUtTbWVWRXNYYkxKSENkZzVDNFVWb0I0MVI3anNIQjVtclR1RFFXQlNFbmVUVVB0OUhtVGVTeGhWaQ?oc=5
2026-05-06;airport strike;Scottish airport staff could strike during World Cup and Commonwealth Games - BBC;https://news.google.com/rss/articles/CBMiWkFVX3lxTE1FbWNiVnhDaGZ1MUpoQVlxQUtZS21OaHY0TUpFNnlyZDBjZGhDTHMzendjamRVQjZCZEh5bHFMbWduamVYMC1BNlRtamd1RWtiOVloRG91Q1JUZw?oc=5
2026-05-28;airport strike;Iran's Islamic Revolutionary Guard Corps says it targeted US airbase in Kuwait - Anadolu Ajansı;https://news.google.com/rss/articles/CBMitwFBVV95cUxQeDZyUExYZlNCZEpWRDEwNjRQekJpTUgwdFh3WUlONHpiSlNtdDZWS19oRlVoU05ENkZRb0FVemVfVEltTUR5ZTFFS0h1REhrd1lHQTBFa2JHenpjZHVJcWVIREZiTzdtVFVTclVfWXJPbEpBUVQ2Z1UwZy1Wc1JBNFRJZk9VRXNLTDhQWXpGbjFBVDhBTTNUWTBtY2p5dUdzRHdwMlJWWjBMczBuVm1GLVdZYUtieUU?oc=5
2026-05-22;airport strike;Scottish airport workers back summer strike action over ongoing pay disputes - International Airport Review;https://news.google.com/rss/articles/CBMi0AFBVV95cUxNYjNBMzE1bVhwQ3RQemRvLVVLWWZXVTBleFJVNFR2QTFaU1V5N294bkVhYkI5QXR2U3NDN1Bpck81d2gxb1h0ZS1jWEc0S1BpV3otbS1mSnVyM3NMN2FROEY2V1lpcF9ndzd0LWdMN0pueGV1VmJud2tlLWphTVd6eUQ2TDYtYXVpWUF0US1ndTBxTDRzU0pWN3VEaHY3N2szamJSX0pwVjM0ckkyQTRLV0h4UmV0ZS1td1RjUHRHdmlVQU1xdWVnZFlCRTZBMzBa?oc=5
2026-05-29;airport strike;Portugal general strike threatens flight disruption - Travel Weekly - Home;https://news.google.com/rss/articles/CBMiiwFBVV95cUxNZGVhLWpyREhPNzdGWVRuaXk1cHkzd3VuRFM3VUxYOENab0pMbnBhMElFM1dqdTF4Qm11ZDEtM3VTTjRJQVk0eTFSU0xHN2F1MnNoMEdaVHU0UlpSWF91VDludXd2czRDR1BCNHVoOFV0S09ZVE9ldVZtd0pvVTBhODhINVhlLWlMZVBN?oc=5
2026-05-31;airport strike;When birds strike planes - Vanguard News;https://news.google.com/rss/articles/CBMibkFVX3lxTE53VXNYOFFUbHpKd3dJbUZpcFZnajV1V19qcTZyczZXME1hMGhCRXBlSTY0dXNRd29LYmpoenVDZFJTS0RmeW44YS1oWDdLWjZhZFZhcW80QnBTVFNMRko1Qm5tR2p3ZVBtSm4yMXFB0gFzQVVfeXFMTkRTbm9zTjJYbVhiSEZqLU9rMzhkZldVZzJiMU1pa1ZmUUJGNmEyYjRTN2lycTdhR244Umx3MU0yamdJbEdneFFwRlZPN0NVUEFPY0oxX0hWMVZuODg0REN3eFhqd3JOVldXVTVTUzZ5X0RLWQ?oc=5
2026-05-26;airport strike;Portugal Airport Strike June 3, 2026: Flights Canceled, Airlines Affected, and What to Do - Wego Travel Blog;https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1lM05LdkF2NzZYb1NPNHFXbFNhVzBiaUhPeU5QMU56UERlSzNCNjFZMWJSaHdNeHRHOUJ5cWxReDVyOFA5Szc4ell0TGtHdTVBZjNWV3lBaEJTbG5iRzBmTi14aER2TWc?oc=5
2026-05-29;airport strike;Aberdeen International Airport faces potential summer strike action - Travel Weekly - Home;https://news.google.com/rss/articles/CBMitwFBVV95cUxORUd0RXBCM1p4Rll4czZZRm5lNU8yZHEwQk5oNmZrYzVWZ2oxcEs1dW9EUU9CM2VyT2RyaWtHNDI5SDdBSFVBaTBvNHZjem5QRlJDV3VPeWNCM2w0RzU1b2pZMk9TZ1ZTcngzS2tVdXp5NlpjbnZpa09yMUEzOUxET05IWnVEY1E5MEZ6SkV4YnJ5RldyYlA4OG1mLWp2TFlVX1JVTk1JRVZCWHl4MFdwT2o5S1BHWmM?oc=5
2026-04-28;airport strike;Brussels airport warns national strike may cause disruptions on May 12 - Reuters;https://news.google.com/rss/articles/CBMi4gFBVV95cUxOd2RjS2VHb1RBbjl2N1QzU0E4b0lJUGVHRHJzOXZhT0tRWlVBRjkzZDh4VnN6Q2VzRWg0LTdDMHo0Z2YyV2g2eGdBUmxEVmRVdFJYZE5aeDhwY0RFcS1uNTJxNGVfWFpDaVVha0F0a1J0ZmRHaTFWRTBpdTdadzE5TGtZUEViMmczVlpJbklaN3ZsMjdlb0pKVFd5SVFaamtTZlQ0T292WUMwdkk4UGlkTVNzaDVsRTc3YzN6MXlRTmloN1NoX2ZDa3JWN0loa2lFV20zTnpLSDh1TU1CNnhaeWp3?oc=5
2026-05-06;airport strike;Scottish airport workers head towards summer strike action - Unite the Union;https://news.google.com/rss/articles/CBMitAFBVV95cUxQRTdxZ3JtQUJoZlBqZnNza2VDZGtqa1l0REJnVjNsWkdxYl9Ma0R3U0tWNm9WVUJpa3FzcFRSRjVNOUZyV2R3aUpFb0QtdHRaMVRfZ29qQkoya2swS3BrOFlHeUpON3lCX3BsMkNBOGF2aDdqbFdsX09VSGUyb2o4aG5xemFaRlhwME5vODRFYmRaMnpEUU0xU0RMbzIxVkgwY1JDZjZad2RpZXh0bENwUl9kNTI?oc=5
2026-05-30;airport strike;United Arab Emirates and Iran Face Escalating Gulf Security Crisis After Dubai Airport Drone Strike and Strait of Hormuz Disruptions Impact Travel and Energy Markets: What Global Travelers Should Watch Next - Travel And Tour World;https://news.google.com/rss/articles/CBMibkFVX3lxTE1mTk9fZVgxQ19KRXAwbXQxSC1RdjZRSl9HTEZlZXJzWkxrR05OZkJWa3RocDM1cWdqV0l1Vlo5ZG92MUhkdTZMQ2htOTByX29sMVpOMGF0UkFFQlRmNjBxUU1PcVhTNUJka1JyYzdn?oc=5
2026-05-18;airport strike;Drones strike Azerbaijan’s Nakhchivan Airport, Baku accuses Iran - Georgia Today;https://news.google.com/rss/articles/CBMikAFBVV95cUxPb1hjMGJMdVgwUG9vdE8zMEF2UjNCbVhKcGJqc2ZRNThQQW1wcWJncEx2NXlQOFJfMFhHdHFZLTE4RHg3T2dOWVl4dzJtdlZabVZrVzNubTdYMDRxUWNHek5YaWNGSFdKcWRpVHBOQXc4NjlGRVBJOHhPd0lvazlSbjdpbFM5enNXZmc5RVhqeWU?oc=5
2026-03-06;airport strike;Iran’s Targeting of Airport, Ports and Hotels in Reaction to US Strikes Has Forced Gulf Nations Onto Front Lines of a War They Want No Part In - Baker Institute;https://news.google.com/rss/articles/CBMiygFBVV95cUxPX0tBTnBjelRLMHYzbmhCbmMyYjhwRG1VTm9xSG5tZ2VFcURMNzZ1d00yVGtzVXRsMDVfNU9CY3YweHl5ZDFRR0hVZHdMeWU4VDZvSmdXV0w2eTZzcWlzdHFwMkVQSkF4YVFsSTZQZDNyWWlHVjZSTTdINERNNURtbzhvdEpSNDVZOHAxbTR4VkpkdG44V0ZCRmZCSy1CTXljcTVzU3NtV2xHNWlPeElNOWlHUHgzZm1HRklKR0dUOG5qUU41UVNqNWZn?oc=5
2026-03-18;airport strike;Flights halted at Berlin airport as strike grounds operations - Reuters;https://news.google.com/rss/articles/CBMitAFBVV95cUxOelFIbXRHZDJkRkJtV2pxUkVkSlR3b3VNMVNROGlOYjdTblBmR2w3UnZ1TVJMQ0FMaWoyY2tHSkJneG15ZWhhWlZJX0hSRzh2U0YwS05uT2lQTUpjaTA4b01qOHVCOEx0TkdzNDl6Ym8wRmo1My13Ni1PbzEzSkl3dk0yZU9ncDRrRmFDVC05OHRMblBFaFR1U3dYZmlfYjdXOHVOYUdmZE84bVZzRXhiOTQtNEg?oc=5
2026-05-14;airport strike;Italy travel late April–May 2026: strike dates and tips - Dolcevia.com;https://news.google.com/rss/articles/CBMijwFBVV95cUxPbVhLT3VsbGZDS3dTOGRIV3Ntc0hDTHBwREEteXZEVExYdF82dV9qZDd4TUFST19JTGFwSVdFaV9EUVRhWjh1SWw5T2EtdExjSVJTZmlJQ2pxVDE5bkRoVGtsRnRKYW1oUUxzMWpqTGtzVXhMZ2g3SWFENWNXU0dpZm5kVTBNS0p1YkNGRTFicw?oc=5
2026-05-30;airport strike;New border control warning for Britons heading to Europe on holiday this summer: Spain still under pressure to lift new EES - Majorca Daily Bulletin;https://news.google.com/rss/articles/CBMimAJBVV95cUxOS1Z0bkkwcXkyT0ZwdHd2TW10Y29VTlpEc2RqN0hfNFFFQWRjS0VMdDVldkM0RHJtMG1iYTRodC10OUppNE9QWU5TNjBscnJSdFdKZmxFRy1ESnVndHJsREhzS2tBbmRGbkNLSW1iS0JjYktiSTlleUh5bkh5Um1mWU5NM0J0NldNN0N1YjVSbjl1ck85UUZfaXhxeGdFRllsVWZyU0FsS25nZlhvV2xKV3JKV1YyLWJHM21oTER2TGFWODhQaFFYd1ZhZG9RZVNWUl9MVDZEcWFZWGNvRmhDTnZWcmV2eEdJSjFkREdycTJ5RV9KNUxhZjNjcjNDckpvNFBuUS0wTjlTaHBka1F0Z0YzRF9Ib1Vp0gGYAkFVX3lxTE9USTgydHlfVFp4NEtpQ2RqdEFZX2lobElORDRJLVlGWXBGTlNsb0xTRXpvNElvUWo4WG1WeVpDdDNCSkFHSGRHb2xFbDlxNjl0ejY1S0wxY0lsYUZOZEhKN1JxZG9RNE8wS1hVZmxFaFcydDBGWS1sV09tVmhUYk9vMUZBZmozQ1Q4alZKekYxYS0yQkc2LXBERzcyM0h5MnowbmVkYnE2T3VhZFM3T3BYUXpPNURMNnNGZTlEeHRyODhTYkx0TmZqRVJCSS1OQXF5R0toaE9zN2xZVm9Id2FKUFo2NGRWcWM3NmlkRFlMMk51NHE2cElIUnFfbnh1Nm1tTlh0XzZyWFhBbnhvcWpKdmpXRXVFQ0Y?oc=5
2026-03-26;airport strike;TSA Is on a Brown-Bag Strike — and Crippling Airports - Jacobin;https://news.google.com/rss/articles/CBMickFVX3lxTFB0elZKX1cxakFGNzBfQ3ZDOFpNR3ZTby1tNFlKYzE5M1ZDVGlwcWlWTUlPYmRZR3dkcUVUQk9DTjBWN09MTDV4SlNQMXZzcWplbFhlWU5vYzRpeV9wX0J3N25jdTVqOXVPT0JUMkxndHlEQQ?oc=5
2026-05-22;airport strike;Holiday disruption fears as Palma Airport staff strike from Monday - Majorca Daily Bulletin;https://news.google.com/rss/articles/CBMi1gFBVV95cUxPMTZUcmE0YXYyUVhlRzJ6SVhpa3ZDUHpYanQxWlRTaEtkbjFhZmpPQVlmRExCcjBKdTRKRG14c1MxNEV0T1NnR0tGYS04S0tOWUFkNmtiWmRSVEhkMGtjdndKTnRuM2d6ajQyTHZfVmdTSTJ2LXFPd2hqVHgwUkVoWktNUmFkRklTTzRMY3JUUjE2V0hVbEZhbVJMWVJReXN5bGtoMlVlSFBKTVR1d2l6MWh3NGU4SnduUnZhQUJ3TEl4SUZPQ19SQ3Nha3NPUl9QODdUU2FB0gHWAUFVX3lxTE1OaWdaakxCcHk5c0lSaVkxTFlxR3p4WEREUDh1M3B4VUwzdzNXRzh0ZFVnbGNjRUp0QndrdnJNT01TQzFnUjZsRVNOY05lbm9VelJBbVZpQndTb3pXZ0ZyRl9rT3Q0Wl95aVRURW9xTFJrRjF2dTRmYVVUX1h3NzNyZ1IzdjIzXzVVMUF2Rk1jM1pISjVESnFrdVhoT09OaUx1UmZ1LXJwRTJfcDNIQXh0V1hqU3BwMlVUQ3VrSWJ5UktEa2hkR1REdWRfVkZuQy1EUHFUdnc?oc=5
2026-05-30;airport strike;United Arab Emirates, Iran, Qatar Travel Alert as Dubai Airport Restarts Flights Following Drone Strike and Regional Security Escalation: What International Travelers Should Watch Next - Travel And Tour World;https://news.google.com/rss/articles/CBMibkFVX3lxTE5mRjVvRWJMd24xdGE5YVQ2VFVJOXVqampqTTZ5QUtPRnRQVVhKMGxCQUhUYmRhZGtsRlhTYTc3clg0WjU5OTZkZGpKVWpEWG5YZm1Gd0VmZVJmeEROR1M2RjNJaWNEVl95anMtNTVR?oc=5
2026-03-16;airport strike;German union calls for strike at Berlin airport on Wednesday - Reuters;https://news.google.com/rss/articles/CBMiywFBVV95cUxPX0VFTDE3REpRdDlJYjlCMkxJRkx4enBja2tBejIxa2NpYjFYZUREZjZ1bGl0OHEzR01hTUhMTGdXNXJyV2ZiWHgxczRYX2JYa2ZzdkpFd0ljbzQxckZMNnREVmN1TmloamdvcWhGMGx1UGJaV3BNU245QlNOVlpudGNGY0d6U0hCNkFHakg0Vk9jSU12VFJEN2ljTy1RWUJ2bTZtMG41VWo1X2gtbWU3RzJ0cHNOekVMWkRxbWJJZExQVFd4cHZCNzFLMA?oc=5
2026-05-28;airport strike;Scotland’s airport is complicit in illegal US-Zionist war on Iran - thecanary.co;https://news.google.com/rss/articles/CBMiekFVX3lxTFBmUTlKQzFzZ052REY1UUpMUDZaVXZxWGVmYno4aFlNYTlrY2RhTnlMb1hVZ3lWM3pWb3ZUdEN6bWw3WjNHTnA4Z2o5TE5GeDVYYzZrbmJ1aVkwYmRRTFZYdElHNDUzZ3NoZFZwcFR6SG1DUWNDeF8wN3pR?oc=5
2026-02-17;airport strike;Kenya airport workers call off strike after two days of disruption - Reuters;https://news.google.com/rss/articles/CBMiwAFBVV95cUxPVVVtVXV4bnBmTHdnT1dIUUtwaTY5Q3ZGdWVFMnA0TDZmR1FDSGZWSjNvQ3NIMXI3Q0F5QkZydHk5eEdPa0NpV2wyUDQySjRnZXhzSTFvZzNueUlsRXFZcFc4Ql8zQ3pxanNMcEpvU1ZYYWFfdjZ5OGpNU3lhY0NxS1J3eDVwYXQzWWpBZ1lieEdUT2E4c0tWTVNjS3EtUlh1NW54QnIxNUF1aFJDV3NLNVBDZjUySERTaTdxVkdZajI?oc=5
2026-05-27;airport strike;How strikes at European airports can affect travel: what you need to know - life.liga.net;https://news.google.com/rss/articles/CBMiqwFBVV95cUxQQ0llSmVBb1otYVZyUEFEd3RkSXQteGN0ekRBdDk0bkdWRTZvYlZDWTZzdGJLdHBvcHQ1Zl84OHJJMjM2QXczSzJQTW9lOEN0dFdidWdudVdWbFNwdHlhTk9rX1NPR1dqREVFZ3A3X2x1Y0pmajNFblJhTUJDeHprVkdhMG5fUWlaaUo2aTVjTXJzVGF2cEdabmdGd0gwSFA2MVg1Zi1iWDAtNFHSAbABQVVfeXFMT2hiaFlvWWRSM0tVTVRKWmJtZEN5VVA2WlY2T1RSVkloUGZrVUxqYWIxeV83VWxNemFEUUEzRkpKUnJyQUVPSFhjbjJtSEF1Vi16NTVpdjNUOGxFWTZWTEREU196d2w4bE1ob0E2djZjU1dRU3BBTGNjMFZLWmhETmdVOEdKSUUxYXdnUTY1TjlLN25aYktkNDZhczEzVVZZVndzMXNhd1RMVDJzbVJMNDA?oc=5
2026-04-29;airport strike;Brussels Airport warns of cancelled flights next month amid strikes - Euronews.com;https://news.google.com/rss/articles/CBMizgFBVV95cUxORlZja09la0VTR004OG10ZERELUI5Z3pod3JtTlVKa01FVXBrY0cxdGVUZEk3OWVvR1JjWEx1dkNkTlQyWTVGMVRGeEtDV3FGV2UyUDFCZG5mRzBOeU5oejFHMVVHQ083dVo0aDFzbno1dWUtamZqVUhZdGU3VTB1ZDFMWm42c3ZUc2laam1vRHFuOTZNclVkbUItV3oyeDd5M1IyVDhkLXFWRGZ3Mm9jM1dCUmlEd1diZWJKalRXNWVzYTUyNUdEX000c04tdw?oc=5
2026-02-18;airport strike;Kenya airport workers' strike called off, Nation Media Group reports - Reuters;https://news.google.com/rss/articles/CBMiwwFBVV95cUxQanRFWEdPOVVpYzZBS3I3SjFSRzFENzlfMk12Q3ZpMk1uSUkzR25lX0dTUzQ3cmp3VW1DT09XdDFuUjVndVM2WmpTZ0FpbURCclJiUmNyT2JTT3Q2NkFIeUJuLXFpb3VOQTlBeWRMb1dGbXFvZ2hBdjZCQ2pobVB1X3QyZzMwczNTVTlBV0tvS3Rja18yeEo4SkZHUjNXRVNFZHl3cFhyUlhVYVBpZU9IVjZ4eHdwOVRmQ0dfXzBScHRrVGs?oc=5
2026-02-16;airport strike;Worker strike delays flights at Kenya's main airport - Reuters;https://news.google.com/rss/articles/CBMi1AFBVV95cUxQWkVBNlRVQlh6RGtKQ2paYjNUUkhKbmZBTzZEa2VCRHZYWVZtMU1vOUhMQkt2MGFzVmlqUDNLVTg5UmQyWC1JWXQ5NF9KZmFkRm9jdkJtQnFSM0p3a2RaRHoxYl9laHo4TWd0T096Nk9IQ3RoTzdrSWNlZmdrZ2xDR1ZRSnVBQjk5NGpkRG9xT041aHZYVDMwNjVxWlcwVnlLcVdMWHRxU1dUTnJieXZ4ZnNraFZLem1CMWsxaWZLY29TTmZyazZYTjZVczJLakozTFp3dA?oc=5
2026-05-02;airport strike;Strikes by workers at Stansted Airport called off - BBC;https://news.google.com/rss/articles/CBMiWkFVX3lxTE9vdnkzcWpsbWoydFBSQWNpNDRhWndoWjctakNEc09ZWUcyVUVqWmplUnJDZ0N4MHp3V2ZnelltTko1MVo2Y3BDRGdOUi1fbzlCX09BQnVHV2ZFUQ?oc=5
